# img_id	mask_row	mask_col	metastasis_ratio	ucc
tumor_002__13.png	1472	480	0.00	1
tumor_002__0.png	1408	480	0.00	1
tumor_003__97.png	2208	1248	0.00	1
tumor_003__33.png	1920	608	0.00	1
tumor_003__48.png	2080	1280	0.00	1
tumor_005__15.png	2240	768	0.00	1
tumor_007__247.png	2336	224	0.00	1
tumor_007__18.png	1696	192	0.00	1
tumor_007__296.png	2464	320	0.00	1
tumor_007__145.png	1984	704	0.00	1
tumor_007__203.png	2208	800	0.00	1
tumor_007__258.png	2368	192	0.37	2
tumor_009__149.png	2368	288	1.00	1
tumor_009__168.png	2464	256	1.00	1
tumor_009__114.png	1984	960	1.00	1
tumor_009__116.png	1984	1024	1.00	1
tumor_009__117.png	1984	1056	1.00	1
tumor_009__193.png	2528	448	1.00	1
tumor_009__129.png	2016	1120	1.00	1
tumor_009__150.png	2368	320	1.00	1
tumor_009__90.png	1920	992	1.00	1
tumor_009__124.png	2016	960	1.00	1
tumor_009__145.png	2336	288	1.00	1
tumor_009__183.png	2496	448	1.00	1
tumor_009__162.png	2432	288	1.00	1
tumor_009__173.png	2464	416	1.00	1
tumor_009__167.png	2464	224	1.00	1
tumor_009__146.png	2336	320	1.00	1
tumor_009__102.png	1952	960	1.00	1
tumor_009__153.png	2400	256	1.00	1
tumor_009__120.png	1984	1152	1.00	1
tumor_009__176.png	2496	224	1.00	1
tumor_009__155.png	2400	320	1.00	1
tumor_009__199.png	2560	384	1.00	1
tumor_009__171.png	2464	352	1.00	1
tumor_009__160.png	2432	224	1.00	1
tumor_009__141.png	2304	256	1.00	1
tumor_009__142.png	2304	288	1.00	1
tumor_009__71.png	1824	928	0.00	1
tumor_009__204.png	2592	448	0.47	2
tumor_009__109.png	1952	1184	0.55	2
tumor_009__112.png	1984	896	0.63	2
tumor_009__96.png	1920	1184	0.46	2
tumor_009__202.png	2560	480	0.68	2
tumor_009__108.png	1952	1152	0.63	2
tumor_009__33.png	1216	1280	0.43	2
tumor_009__111.png	1952	1248	0.62	2
tumor_009__81.png	1888	1024	0.63	2
tumor_009__93.png	1920	1088	0.62	2
tumor_009__137.png	2272	224	0.51	2
tumor_011__39.png	1696	864	1.00	1
tumor_011__73.png	1760	1184	1.00	1
tumor_011__53.png	1728	864	1.00	1
tumor_011__65.png	1760	864	1.00	1
tumor_011__58.png	1728	1120	1.00	1
tumor_011__15.png	1632	800	0.00	1
tumor_011__98.png	2304	1056	0.00	1
tumor_011__18.png	1632	896	0.47	2
tumor_011__52.png	1728	832	0.63	2
tumor_011__110.png	2368	992	0.68	2
tumor_011__38.png	1696	832	0.35	2
tumor_011__80.png	1792	1248	0.60	2
tumor_011__55.png	1728	928	0.58	2
tumor_011__43.png	1696	1120	0.65	2
tumor_011__72.png	1760	1152	0.44	2
tumor_011__114.png	2400	960	0.50	2
tumor_011__17.png	1632	864	0.43	2
tumor_011__118.png	2432	960	0.63	2
tumor_011__57.png	1728	1088	0.58	2
tumor_011__75.png	1760	1248	0.49	2
tumor_011__70.png	1760	1088	0.47	2
tumor_012__61.png	1760	672	0.00	1
tumor_012__2.png	832	800	0.00	1
tumor_014__98.png	1088	640	1.00	1
tumor_014__119.png	1120	672	1.00	1
tumor_014__60.png	1024	832	0.00	1
tumor_014__86.png	1056	960	0.00	1
tumor_014__66.png	1024	1024	0.00	1
tumor_014__34.png	992	672	0.00	1
tumor_014__70.png	1056	416	0.68	2
tumor_014__100.png	1088	704	0.66	2
tumor_014__137.png	1152	704	0.50	2
tumor_014__150.png	1184	672	0.32	2
tumor_014__148.png	1184	608	0.40	2
tumor_014__77.png	1056	640	0.52	2
tumor_014__48.png	1024	448	0.40	2
tumor_014__97.png	1088	608	0.43	2
tumor_014__149.png	1184	640	0.60	2
tumor_014__101.png	1088	736	0.34	2
tumor_014__78.png	1056	672	0.38	2
tumor_014__121.png	1120	736	0.58	2
tumor_017__147.png	2176	1184	0.00	1
tumor_017__174.png	2368	1216	0.00	1
tumor_017__160.png	2272	1152	0.00	1
tumor_020__25.png	1856	1216	0.00	1
tumor_020__20.png	1856	1056	0.00	1
tumor_020__8.png	1760	1056	0.38	2
tumor_020__88.png	2656	384	0.37	2
tumor_020__13.png	1792	1056	0.32	2
tumor_020__60.png	2464	544	0.45	2
tumor_020__7.png	1760	448	0.36	2
tumor_020__41.png	2048	480	0.46	2
tumor_020__11.png	1792	384	0.37	2
tumor_021__400.png	2208	896	0.00	1
tumor_021__398.png	2208	832	0.00	1
tumor_021__198.png	1824	416	0.00	1
tumor_021__49.png	1024	352	0.00	1
tumor_021__203.png	1856	352	0.00	1
tumor_021__153.png	1568	576	0.00	1
tumor_021__218.png	1888	512	0.00	1
tumor_021__64.png	1056	1056	0.62	2
tumor_021__55.png	1024	1024	0.33	2
tumor_021__33.png	928	1024	0.60	2
tumor_021__65.png	1056	1088	0.30	2
